Range,Graduation,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2 mm,0.002 mm,JIS,-0.1,-0.098,-0.096,-0.094,-0.092,-0.09,-0.088,-0.086,-0.084,-0.082,-0.08,-0.06,-0.04,-0.02,0,0.02,0.04,0.06,0.08,0.1,,,,,,,,,,,,,,,,,,,,
0.4 mm,0.002 mm,MAHR,-0.2,-0.198,-0.196,-0.194,-0.192,-0.19,-0.188,-0.186,-0.184,-0.182,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.02,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,,,,,,,,,,
0.14 mm,0.001 mm,MANUSPEC,-0.07,-0.069,-0.068,-0.067,-0.066,-0.065,-0.064,-0.063,-0.062,-0.061,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,,,,,,,,,,,,,,,,
0.008 inches,0.0001 inches,MITUTOYO,-0.004,-0.0039,-0.0038,-0.0037,-0.0035,-0.003,-0.0025,-0.002,-0.0019,-0.0018,-0.0017,-0.0015,-0.001,-0.0005,0,0.0001,0.0002,0.0003,0.0005,0.001,0.0015,0.002,0.0021,0.0022,0.0023,0.0025,0.003,0.0035,0.004,,,,,,,,,,,
0.03 inches,0.0005 inches,MITUTOYO,-0.015,-0.0145,-0.014,-0.0135,-0.013,-0.0125,-0.012,-0.0115,-0.011,-0.0105,-0.01,-0.0075,-0.005,-0.0025,0,0.0025,0.005,0.0075,0.01,0.0125,0.015,,,,,,,,,,,,,,,,,,,
0.8 mm,0.01 mm,MITUTOYO,-0.4,-0.39,-0.38,-0.37,-0.36,-0.35,-0.34,-0.33,-0.32,-0.31,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,,,,,,,,,,,,,,,
0.2 mm,0.002 mm,MITUTOYO,-0.1,-0.098,-0.096,-0.094,-0.092,-0.09,-0.088,-0.086,-0.084,-0.082,-0.08,-0.06,-0.04,-0.02,0,0.02,0.04,0.06,0.08,0.1,,,,,,,,,,,,,,,,,,,,
0.008 inches,0.0001 inches,TESA,-0.004,-0.0039,-0.0038,-0.0037,-0.0035,-0.003,-0.0025,-0.002,-0.0019,-0.0018,-0.0017,-0.0015,-0.001,-0.0005,0,0.0001,0.0002,0.0003,0.0005,0.001,0.0015,0.002,0.0021,0.0022,0.0023,0.0025,0.003,0.0035,0.004,,,,,,,,,,,
0.8 mm,0.01 mm,TESA,-0.4,-0.39,-0.38,-0.37,-0.35,-0.3,-0.25,-0.2,-0.19,-0.18,-0.17,-0.15,-0.1,-0.05,0,0.01,0.02,0.03,0.05,0.1,0.15,0.2,0.21,0.22,0.23,0.25,0.3,0.35,0.4,,,,,,,,,,,
0.2 mm,0.002 mm,TESA,-0.1,-0.098,-0.096,-0.094,-0.09,-0.08,-0.07,-0.05,-0.048,-0.046,-0.044,-0.04,-0.03,-0.02,0,0.002,0.004,0.006,0.01,0.02,0.03,0.05,0.052,0.054,0.056,0.06,0.07,0.08,0.1,,,,,,,,,,,
